Common Name,Scientific Name,Category
American shad,Alosa sapidissima,Anadromous
Black rockfish,Sebastes melanops,Saltwater
Brook trout,Salvelinus fontinalis,Freshwater
Bull trout,Salvelinus confluentus,"Anadromous freshwater"
Cabezone,Scorpaenichthys marmoratus,Saltwater
Chinook salmon,Oncorhynchus tshawytscha,Saltwater
Chub mackerel,Scomber japonicus,Saltwater
Chum salmon,Oncorhynchus keta,Anadromous
Coastal cutthroat trout,Oncorhynchus clarki clarki,"Anadromous freshwater"
Coho salmon,Oncorhyncus kisutch,Anadromous
Common carp,Cyprinus carpio,Freshwater
Copper rockfish,Sebastes caurinus,Saltwater
English sole,Parophrys vetulus,Saltwater
Eulachon,Thaleichthys pacificus,Anadromous
Kokanee,Oncorhynchus nerka,Freshwater
Largemouth bass,Micropterus salmoides,Freshwater
Largescale sucker,Catostomus macrocheilus,Freshwater
Lingcod,Ophiodon elongatus,Saltwater
Mountain whitefish,Prosopium williamsoni,Freshwater
Northern pikeminnow,Ptychocheilus oregonensis,Freshwater
Pacific halibut,Hippoglossus stenolepis,Saltwater
Pacific herring,Clupea pallasii,Saltwater
Pacific sanddab,Citharichthys sordidus,Saltwater
Pacific sand lance,Ammodytes hexapterus,Saltwater
Pacific staghorn sculpin,Leptocottus armatus,Saltwater
Peamouth chub,Mylcheilus caurinus,Freshwater
Pink salmon,Oncorhynchus gorbuscha,Anadromous
Quillback rockfish,Sebastes maliger,Saltwater
Rainbow trout,Oncorhynchus mykiss,Freshwater
Redside shiner,Richardsonius balteatus,Freshwater
Shiner perch,Cymatogaster aggregata,Saltwater
Smallmouth bass,Micropterus dolomieui,Freshwater
Sockeye salmon,Oncorhynchus nerka,Anadromous
Spiny dogfish,Squalus acanthias,Saltwater
Starry flounder,Platichthys stellatus,Saltwater
Steelhead,Oncorhynchus mykiss,Anadromous
Westslope cutthroat trout,Oncorhynchus clarki lewisi,Freshwater
White spotted greenling,Hexagrammos stelleri,Saltwater
White sturgeon,Acipenser transmontanus,"Anadromous freshwater"
Yellow perch,Perca flavescens,Freshwater
